Id,Label,Brand,Product Name,Price,Tags,Links
1,Treatment/Acne,COSRX,Acne Pimple Master Patch,"Rp59,000",Acne,https://www.sociolla.com/acne-pimple-patch/15018-acne-pimple-master-patch
2,Treatment/Acne,DERMA ANGEL,Acne Patch Mix 18,"Rp46,000",Acne,https://www.sociolla.com/acne-blemish-treatments/10021-acne-patch-mix-18
3,Treatment/Acne,EMINA,Ms Pimple Acne Solution Spot Gel,"Rp37,500",Acne,https://www.sociolla.com/acne-treatment-sealing-gel-cream/10872-ms-pimple-acne-solution-spot-gel
4,Treatment/Toner,SKIN1004,Madagascar Centella Toning Toner,"Rp247,000",Acne,https://www.sociolla.com/toner/43308-madagascar-centella-toning-toner?size=30_ml
5,Treatment/Toner,AVOSKIN,YOUR SKIN BAE SERIES Toner Salicylic Acid 1% + Zinc + Tea Tree Water,"Rp165,400",Acne,https://www.sociolla.com/toner/52499-your-skin-bae-series-toner-salicylic-acid-1-zinc-tea-tree-water
6,Treatment/Toner,COSRX,Centella Water Alcohol-Free Toner,"Rp215,000",Acne,https://www.sociolla.com/toner/10271-centella-water-alcohol-free-toner
7,Treatment/Essence,I'M FROM,Mugwort Essence,"Rp149,000",Acne,https://www.sociolla.com/essence/28392-mugwort-essence?size=30_ml
8,Treatment/Essence,LACOCO,5% Bakuchiol Essence,"Rp275,500",Acne,https://www.sociolla.com/essence/59572-5-bakuchiol-essence
9,Treatment/Essence,COSRX,Two in One Poreless Power Liquid,"Rp315,000",Acne,https://www.sociolla.com/essence/12514-two-in-one-poreless-power-liquid
10,Treatment/Serum,WHITELAB,Acne Calming Serum,"Rp88,500",Acne,https://www.sociolla.com/face-serum/53877-whitelab-acne-calming-serum
11,Treatment/Serum,AVOSKIN,YOUR SKIN BAE SERIES ByeAcne ByeBlackhead Salicylic Acid 2% + Zinc,"Rp154,300",Acne,https://www.sociolla.com/face-serum/52502-your-skin-bae-series-byeacne-byeblackhead-salicylic-acid-2-zinc
12,Treatment/Serum,ROJUKISS,Tea Tree Bija Pro Acne Serum,"Rp23,000",Acne,https://www.sociolla.com/face-serum/53764-tea-tree-bija-pro-acne-serum
13,Face Mask,NPURE,Cica Chocomint Clay Mask,"Rp132,090",Acne,https://www.sociolla.com/sheet-mask/53997-cica-chocomint-clay-mask
14,Face Mask,MEDIHEAL,Teatree Essential Mask,"Rp29,900",Acne,https://www.sociolla.com/sheet-mask/9039-teatree-care-solution-essential-mask-ex
15,Treatment/Toner,COSRX,One Step Original Clear Pads,"Rp299,900",Blackheads,https://www.sociolla.com/toner/9208-one-step-original-clear-pads
16,Treatment/Toner,COSRX,Refresh AHA/BHA Vitamin C Daily Toner 150 ml,"Rp245,000",Blackheads,https://www.sociolla.com/toner/25883-refresh-aha-bha-vitamin-c-daily-toner?size=150_ml
17,Treatment/Toner,AVOSKIN,Miraculous Refining Toner,Rp101.370,Blackheads,https://www.sociolla.com/toner/10422-miraculous-refining-toner
18,Treatment/Essence,Teratu Beauty,PHA Gentle Exfoliating Toner,Rp65.000,Blackheads,https://www.sociolla.com/toner/79738-pha-gentle-exfoliating-toner
19,Treatment/Serum,COSRX,Refresh AHA BHA Vitamin C Booster Serum,Rp297.500,Blackheads,https://www.sociolla.com/face-serum/63361-refresh-aha-bha-vitamin-c-booster-serum
